1,Alabama,13-1,1.84,1.27,1,.267,1,.209,1,.549,1,.110,2,.200,2,.146,22
2,Ohio State,11-2,1.22,.87,2,.337,4,.238,3,.614,8,.129,3,.209,5,.157,14
3,Washington,11-2,1.17,.76,7,.359,11,.254,5,.652,20,.156,7,.239,8,.141,27
4,LSU,7-4,1.14,.82,4,.342,6,.304,19,.616,9,.104,1,.169,1,.112,65
5,Wisconsin,11-3,.95,.78,6,.354,10,.275,7,.656,22,.136,6,.208,4,.175,6
6,Florida,9-4,.95,.86,3,.346,8,.242,4,.621,10,.136,5,.218,6,.157,15
7,Colorado,9-4,.92,.43,13,.396,24,.299,15,.684,36,.177,11,.259,11,.152,19
8,Michigan,10-3,.89,.82,5,.295,2,.220,2,.567,2,.135,4,.238,7,.092,98
9,Clemson,13-1,.84,.43,12,.341,5,.268,6,.606,6,.183,14,.302,21,.131,42
10,Central Florida,5-7,.67,.49,9,.373,16,.317,23,.637,15,.208,23,.327,36,.119,57
11,Stanford,10-3,.61,.24,30,.405,27,.331,29,.676,32,.191,17,.283,16,.125,49
12,UCLA,4-8,.61,.35,17,.414,32,.345,32,.665,27,.190,16,.286,17,.146,24
13,Miami,8-4,.57,.25,27,.414,33,.331,28,.730,66,.197,19,.270,13,.095,92
14,Auburn,7-5,.56,.24,29,.453,49,.357,39,.762,92,.156,8,.204,3,.107,76
15,Houston,8-4,.55,.31,19,.377,18,.304,18,.662,25,.212,26,.320,33,.106,78
16,West Virginia,9-3,.52,.06,40,.464,54,.407,59,.783,110,.210,24,.268,12,.140,31
17,Boise State,10-3,.52,.28,21,.406,28,.325,26,.730,65,.175,10,.240,10,.066,121
18,Virginia Tech,9-4,.51,.27,22,.360,12,.297,14,.588,4,.224,34,.381,61,.115,62
19,Louisville,9-4,.50,.48,11,.332,3,.289,12,.585,3,.195,18,.333,38,.140,29
20,Appalachian State,10-3,.50,.39,14,.382,19,.331,30,.621,11,.179,12,.287,18,.129,45
21,Troy,9-3,.49,.48,10,.371,15,.282,8,.681,35,.184,15,.271,14,.170,8
22,Boston College,6-6,.48,.26,24,.345,7,.302,17,.607,7,.255,51,.420,82,.152,20
23,BYU,8-4,.47,.17,32,.456,51,.355,36,.712,50,.227,37,.319,31,.189,2
24,Arkansas State,8-4,.47,.59,8,.351,9,.292,13,.667,28,.160,9,.240,9,.104,82
25,Minnesota,8-4,.45,.37,15,.383,21,.321,25,.653,21,.200,20,.306,23,.140,30
26,San Diego State,10-3,.44,.30,20,.362,13,.284,9,.632,13,.222,32,.352,43,.181,4
27,TCU,5-7,.39,-.03,45,.431,40,.348,34,.726,61,.233,39,.321,34,.082,111
28,North Carolina State,6-6,.37,.16,33,.447,46,.361,44,.735,69,.213,28,.290,19,.132,41
29,Temple,9-4,.35,.26,23,.367,14,.306,20,.628,12,.212,25,.337,39,.117,60
30,Iowa,8-4,.35,.36,16,.385,22,.288,11,.647,17,.180,13,.279,15,.105,79
31,Wake Forest,6-6,.34,.25,26,.412,31,.356,37,.687,37,.213,29,.311,24,.167,9
