Rk,Team,W-L,DFEI,DE,Rk,DDS,Rk,DAY,Rk,DFD,Rk,DTD,Rk,DTF,Rk,DBC,Rk,DTO,Rk
1,Auburn,9-4,0.89,1.25,4,0.194,4,0.339,8,0.604,6,0.132,5,0.218,4,0.597,27,0.097,92
2,Alabama,12-1,0.95,1.12,1,0.175,1,0.298,3,0.620,12,0.095,1,0.153,1,0.620,44,0.124,53
3,Clemson,11-2,0.97,1.12,2,0.176,2,0.279,1,0.581,2,0.108,2,0.186,2,0.541,4,0.122,56
4,Georgia,12-2,1.00,1.34,5,0.204,8,0.335,7,0.599,5,0.132,4,0.220,5,0.566,10,0.125,50
5,Wisconsin,13-1,1.05,1.12,3,0.196,5,0.299,4,0.582,3,0.111,3,0.191,3,0.556,6,0.163,8
6,Ohio State,12-2,1.14,1.36,6,0.201,7,0.328,6,0.611,7,0.161,9,0.264,10,0.584,19,0.141,31
7,Texas,7-6,1.31,1.49,11,0.246,14,0.347,10,0.626,14,0.168,11,0.268,16,0.575,14,0.128,45
8,Michigan,8-5,1.39,1.41,7,0.185,3,0.291,2,0.522,1,0.159,8,0.305,27,0.490,1,0.083,107
9,Washington,9-3,1.41,1.45,9,0.205,9,0.351,12,0.639,19,0.148,6,0.231,6,0.598,28,0.148,21
10,Mississippi State,8-4,1.43,1.63,18,0.259,22,0.373,15,0.652,23,0.207,30,0.318,35,0.556,7,0.156,18
11,Penn State,11-2,1.48,1.46,10,0.197,6,0.324,5,0.619,10,0.163,10,0.264,11,0.565,9,0.136,36
12,Miami,9-3,1.49,1.60,16,0.262,24,0.382,21,0.691,49,0.181,15,0.262,9,0.644,65,0.161,10
13,Iowa,8-5,1.51,1.64,19,0.272,26,0.414,36,0.702,59,0.185,17,0.264,12,0.669,80,0.146,22
14,Virginia Tech,8-4,1.53,1.55,13,0.221,10,0.347,11,0.621,13,0.157,7,0.253,7,0.529,2,0.114,66
15,Washington State,8-4,1.54,1.59,15,0.255,18,0.376,17,0.664,34,0.228,42,0.343,45,0.591,23,0.154,20
16,Boston College,7-6,1.55,1.71,23,0.271,25,0.380,19,0.618,9,0.194,23,0.314,33,0.588,21,0.135,37
17,TCU,10-3,1.58,1.94,43,0.291,37,0.397,30,0.715,68,0.205,28,0.287,20,0.629,52,0.106,79
18,Purdue,7-6,1.60,1.66,22,0.244,13,0.396,29,0.656,27,0.188,18,0.286,19,0.625,47,0.113,70
19,Notre Dame,10-3,1.64,1.74,28,0.303,45,0.418,39,0.662,33,0.193,21,0.292,22,0.628,50,0.124,52
20,Houston,7-5,1.64,1.88,36,0.315,52,0.456,62,0.726,79,0.192,20,0.264,13,0.658,73,0.144,27
21,Florida State,6-6,1.66,1.80,32,0.289,34,0.412,35,0.718,71,0.225,39,0.314,32,0.683,90,0.092,100
22,Central Florida,12-0,1.67,1.93,41,0.275,28,0.432,51,0.725,77,0.215,34,0.296,23,0.644,66,0.181,2
23,Wyoming,7-5,1.68,1.44,8,0.234,11,0.379,18,0.695,52,0.184,16,0.265,14,0.596,26,0.234,1
24,Michigan State,10-3,1.69,1.62,17,0.261,23,0.357,13,0.655,26,0.190,19,0.290,21,0.599,29,0.141,32
25,Northwestern,10-3,1.70,1.64,20,0.253,16,0.388,24,0.658,29,0.196,25,0.298,24,0.646,67,0.146,23
26,Appalachian State,8-4,1.73,1.75,30,0.295,39,0.405,34,0.647,22,0.194,24,0.300,25,0.619,42,0.158,15
27,Utah,6-6,1.73,1.81,34,0.301,42,0.420,40,0.629,16,0.203,26,0.322,38,0.601,31,0.161,11
28,Northern Illinois,7-5,1.75,1.56,14,0.257,21,0.340,9,0.593,4,0.168,12,0.283,18,0.557,8,0.108,77
29,Temple,6-6,1.76,2.01,49,0.333,59,0.438,57,0.709,62,0.248,51,0.350,47,0.660,75,0.106,78
30,Troy,10-2,1.78,1.55,12,0.236,12,0.397,32,0.686,46,0.179,13,0.260,8,0.636,55,0.171,6
31,Fresno State,9-4,1.79,1.65,21,0.273,27,0.397,31,0.676,41,0.180,14,0.266,15,0.640,61,0.115,65
32,Iowa State,7-5,1.84,1.93,40,0.289,35,0.420,41,0.674,40,0.222,38,0.330,40,0.637,57,0.111,72
33,South Carolina,8-4,1.84,1.90,38,0.308,49,0.446,58,0.744,89,0.203,27,0.273,17,0.714,108,0.128,47
34,LSU,8-4,1.84,1.88,37,0.279,30,0.382,20,0.636,18,0.194,22,0.305,28,0.636,54,0.085,104
35,Indiana,4-7,1.85,1.80,33,0.276,29,0.361,14,0.628,15,0.228,41,0.363,55,0.545,5,0.076,111
36,South Florida,9-2,1.85,1.73,27,0.255,19,0.375,16,0.669,38,0.214,33,0.320,36,0.648,70,0.145,24
37,Duke,6-6,1.87,1.73,26,0.255,20,0.389,26,0.667,36,0.206,29,0.309,30,0.617,39,0.113,68
