Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Air Force,114.3,13,3.29,16,3.56,34,42.1%,28,75.6%,20,14.2%,4,448.3,2,2.7%,22,0.0%,1
Akron,91.0,108,2.73,93,2.69,108,36.4%,94,59.6%,106,23.9%,113,151.8,25,1.9%,11,6.2%,43
Alabama,115.2,12,3.05,42,3.86,12,42.5%,24,75.0%,24,17.4%,34,131.0,34,2.8%,23,7.9%,78
Appalachian State,109.9,28,3.36,7,3.00,86,45.0%,10,62.5%,86,19.2%,65,150.8,26,4.2%,50,3.0%,6
Arizona,95.6,94,2.82,74,3.64,29,41.8%,30,64.8%,74,18.5%,48,102.8,57,5.7%,81,7.0%,57
Arizona State,98.8,79,3.02,45,2.99,87,38.9%,66,65.9%,69,18.6%,51,98.2,66,6.2%,88,7.2%,61
Arkansas,121.6,6,3.36,7,3.89,10,42.1%,28,68.3%,48,17.1%,27,171.7,17,1.9%,11,6.2%,43
Arkansas State,104.5,46,2.88,66,3.18,71,42.6%,23,66.0%,65,21.4%,91,93.2,72,3.0%,25,9.2%,94
Army,96.6,86,2.99,50,2.54,111,39.1%,63,69.4%,40,19.1%,59,48.2,128,6.4%,94,15.6%,127
Auburn,111.6,20,3.12,28,3.17,72,40.6%,43,78.7%,6,15.4%,9,127.6,36,4.3%,53,5.3%,24
Ball State,95.4,95,2.77,84,3.48,40,32.9%,119,67.2%,56,17.6%,35,209.2,9,1.7%,9,2.5%,3
Baylor,110.4,23,3.84,1,3.08,78,49.0%,1,76.1%,14,13.0%,2,197.9,11,2.2%,15,6.0%,38
Boise State,94.2,100,2.74,90,3.27,63,36.5%,92,76.8%,10,19.5%,70,105.4,53,5.8%,83,5.7%,31
Boston College,88.6,115,2.26,125,2.95,93,36.0%,100,61.5%,93,26.5%,127,59.2,125,10.3%,126,11.8%,120
Bowling Green,123.9,4,3.29,16,3.90,9,41.0%,37,66.2%,62,16.0%,16,99.1,64,4.6%,59,7.5%,72
Buffalo,103.2,55,2.93,59,3.59,32,37.2%,86,69.4%,40,19.1%,59,189.8,12,2.1%,14,4.6%,15
BYU,103.2,55,2.76,85,3.28,62,38.3%,75,68.4%,47,20.3%,85,91.2,75,5.9%,86,7.3%,62
California,108.8,33,2.99,50,3.84,14,44.3%,13,59.1%,108,18.9%,55,162.3,19,4.1%,48,4.4%,14
Central Florida,78.5,125,2.37,124,2.30,121,30.9%,124,56.5%,113,23.7%,112,108.7,48,2.5%,19,7.6%,74
Central Michigan,87.1,117,2.58,110,2.52,113,33.6%,117,57.9%,112,24.6%,118,109.5,47,2.9%,24,8.1%,81
Charlotte,79.2,124,2.78,81,1.94,126,34.6%,108,87.2%,3,19.3%,66,61.4,123,7.1%,106,10.6%,111
Cincinnati,100.9,69,3.09,33,1.92,127,40.1%,50,74.5%,25,16.5%,24,126.9,38,3.3%,31,6.8%,54
Clemson,119.2,9,3.31,12,3.65,27,41.1%,35,79.2%,5,15.5%,10,254.5,6,2.2%,15,3.5%,8
Colorado,98.1,83,3.11,30,3.16,74,38.4%,74,76.4%,11,15.9%,13,83.4,92,5.1%,73,9.4%,95
Colorado State,112.0,17,3.34,9,3.58,33,42.5%,24,72.5%,30,18.2%,45,170.9,18,2.3%,17,5.6%,27
Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Connecticut,92.8,106,2.38,123,3.39,51,37.8%,83,61.5%,93,24.8%,119,62.7,121,11.6%,128,8.1%,81
Duke,110.1,26,3.07,36,3.24,67,38.6%,73,72.0%,32,13.9%,3,260.0,4,1.2%,5,4.1%,12
East Carolina,89.1,112,2.51,116,3.17,72,36.1%,99,62.5%,86,25.1%,120,101.1,60,4.2%,50,8.6%,88
Eastern Michigan,96.6,86,2.64,106,3.47,42,39.1%,63,70.3%,37,23.9%,113,85.8,84,3.7%,38,8.0%,80
Florida,100.3,71,2.72,95,3.34,55,34.5%,109,81.0%,4,19.4%,68,63.6,120,10.1%,125,11.4%,118
Florida Atlantic,91.6,107,2.71,96,3.31,57,41.0%,37,63.0%,82,18.9%,55,83.8,91,7.1%,106,5.9%,36
Florida International,87.1,117,2.53,114,3.38,52,30.8%,125,55.6%,116,21.6%,94,100.7,61,3.7%,38,6.8%,54
Florida State,109.0,31,2.80,75,3.07,80,39.8%,54,56.2%,114,23.1%,107,120.3,40,4.2%,50,7.6%,74
Fresno State,89.8,111,2.46,120,2.88,101,36.5%,92,61.8%,92,26.1%,125,84.0,89,4.8%,64,10.0%,106
Georgia,107.9,36,2.93,59,3.37,54,38.0%,81,54.5%,119,19.5%,70,152.2,23,3.1%,29,6.0%,38
Georgia Southern,103.7,52,3.17,24,3.42,47,40.4%,45,73.9%,27,17.7%,38,97.3,67,3.9%,44,6.6%,50
Georgia State,85.7,121,2.58,110,2.83,102,30.6%,127,54.3%,120,22.3%,102,82.4,94,6.5%,97,6.6%,50
Georgia Tech,106.1,43,3.20,21,2.45,115,44.4%,12,61.4%,95,20.0%,81,89.2,79,4.9%,68,8.6%,88
Hawaii,100.2,72,3.09,33,2.46,114,36.2%,98,66.7%,58,18.8%,53,92.2,74,6.4%,94,7.9%,78
Houston,101.7,65,2.87,69,3.74,21,39.8%,54,66.1%,63,17.1%,27,87.8,80,5.8%,83,7.4%,64
Idaho,107.7,38,3.06,38,3.76,20,39.5%,59,66.0%,65,15.2%,6,100.4,63,5.4%,75,5.9%,36
Illinois,96.3,89,2.80,75,2.53,112,33.1%,118,64.3%,77,19.6%,74,179.6,16,3.0%,25,3.8%,10
Indiana,108.2,35,3.00,47,3.05,83,36.3%,97,69.8%,38,19.1%,59,237.4,8,1.5%,7,4.3%,13
Iowa,103.8,51,2.78,81,4.07,3,35.9%,103,71.4%,35,17.6%,35,90.0,78,7.4%,111,6.4%,47
Iowa State,107.4,39,3.09,33,3.61,30,39.1%,63,62.5%,86,16.6%,25,62.2,122,7.7%,112,14.3%,126
Kansas,90.6,109,2.46,120,3.50,38,29.3%,128,55.0%,118,19.7%,75,78.8,98,4.9%,68,11.4%,118
Kansas State,104.8,44,3.04,44,3.31,57,41.5%,34,65.1%,72,18.5%,48,73.8,108,6.5%,97,10.9%,114
Kent State,81.4,123,2.14,127,2.90,100,31.7%,122,48.6%,125,27.7%,128,138.1,30,3.2%,30,3.8%,10
Kentucky,96.1,91,2.60,109,2.82,103,38.8%,71,62.2%,89,23.9%,113,86.8,82,6.2%,88,8.2%,84
Louisiana Tech,93.5,101,2.88,66,2.63,110,40.5%,44,62.9%,84,22.1%,100,124.0,39,3.4%,34,6.4%,47
Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Louisville,111.9,18,2.89,65,3.20,69,41.6%,32,68.6%,46,23.3%,110,67.1,116,10.9%,127,9.9%,105
LSU,112.4,15,3.29,16,3.29,59,45.1%,8,63.6%,80,17.6%,35,90.2,77,5.7%,81,8.1%,81
Marshall,93.4,103,2.79,78,3.51,37,35.6%,104,66.0%,65,19.7%,75,127.4,37,3.3%,31,5.6%,27
Maryland,110.9,22,2.93,59,3.48,40,40.2%,48,51.7%,124,21.1%,89,105.4,53,3.8%,41,9.5%,96
Massachusetts,106.3,42,2.68,102,3.78,18,45.2%,6,65.7%,70,22.0%,96,95.8,69,6.9%,100,4.8%,18
Memphis,95.0,98,2.71,96,3.42,47,38.2%,78,72.0%,32,20.1%,82,145.8,28,1.6%,8,6.9%,56
Miami,88.8,113,2.52,115,2.75,104,34.2%,110,55.3%,117,21.4%,91,157.8,20,2.6%,20,5.5%,25
Miami-OH,86.7,119,2.56,113,3.24,67,33.7%,113,53.3%,121,25.2%,123,80.7,97,4.0%,45,9.1%,92
Michigan,103.7,52,2.75,88,3.81,15,34.8%,107,68.0%,50,17.3%,33,187.4,13,2.4%,18,5.5%,25
Michigan State,104.3,49,2.73,93,3.26,65,36.0%,100,76.1%,14,19.3%,66,130.8,35,4.1%,48,5.6%,27
Middle Tennessee,90.6,109,2.69,100,2.71,106,37.9%,82,67.9%,52,17.7%,38,199.6,10,0.9%,3,5.6%,27
Minnesota,110.2,25,2.88,66,3.29,59,33.7%,113,60.5%,102,15.9%,13,155.1,21,4.4%,56,3.6%,9
Mississippi State,112.1,16,2.91,62,3.44,45,40.4%,45,71.4%,35,20.2%,83,105.7,52,5.6%,78,7.4%,64
Missouri,93.5,101,2.20,126,3.71,23,32.9%,119,48.4%,126,24.5%,117,85.7,85,7.3%,109,7.4%,64
Navy,127.4,1,3.54,3,3.70,24,43.3%,20,89.3%,1,12.4%,1,78.3,99,6.7%,99,10.2%,108
NC State,117.7,10,3.26,20,3.27,63,42.3%,27,66.7%,58,18.3%,46,74.5,107,8.8%,119,11.2%,115
Nebraska,109.4,29,3.16,25,3.07,80,40.8%,39,61.1%,98,17.7%,38,185.8,14,1.3%,6,5.7%,31
Nevada,98.2,82,2.97,53,3.47,42,38.3%,75,59.6%,106,20.3%,85,87.5,81,3.0%,25,9.5%,96
New Mexico,93.0,105,2.84,72,2.42,116,36.0%,100,68.9%,43,20.2%,83,109.9,46,4.4%,56,5.8%,34
New Mexico State,107.3,40,3.13,27,3.08,78,40.8%,39,67.4%,55,22.4%,103,66.8,117,6.4%,94,11.2%,115
North Carolina,124.2,3,3.41,5,4.06,5,43.3%,20,58.8%,109,15.2%,6,149.8,27,3.6%,36,5.2%,21
North Texas,88.0,116,2.91,62,1.95,125,40.7%,41,64.1%,79,22.9%,106,71.7,112,4.7%,62,10.6%,111
Northern Illinois,99.5,74,2.61,108,3.10,77,36.4%,94,66.1%,63,19.8%,79,84.6,88,5.0%,70,7.4%,64
Northwestern,97.3,84,2.74,90,3.02,85,35.2%,106,58.7%,110,21.1%,89,77.1,101,8.2%,116,7.1%,59
Notre Dame,124.3,2,3.07,36,4.07,3,45.4%,4,66.7%,58,20.5%,87,104.7,56,6.2%,88,7.4%,64
Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Ohio,103.5,54,3.00,47,3.60,31,40.0%,52,76.9%,8,16.4%,20,84.8,87,8.1%,115,4.7%,17
Ohio State,120.2,7,3.37,6,3.65,27,47.4%,2,77.2%,7,17.9%,42,105.4,53,4.8%,64,7.8%,77
Oklahoma,111.1,21,3.32,10,2.96,90,42.7%,22,68.1%,49,18.8%,53,77.0,102,8.9%,121,10.5%,110
Oklahoma State,76.0,127,2.40,122,2.20,124,38.3%,75,64.4%,75,22.0%,96,112.0,45,6.2%,88,5.1%,19
Old Dominion,93.4,103,2.83,73,3.38,52,39.7%,56,56.2%,114,22.0%,96,85.2,86,5.8%,83,8.5%,87
Mississippi,108.8,33,2.70,99,4.42,1,43.9%,14,44.4%,127,22.2%,101,152.6,22,2.6%,20,7.5%,72
Oregon,117.5,11,3.46,4,3.74,21,45.6%,3,61.0%,99,16.1%,17,73.3,109,6.2%,88,12.4%,125
Oregon State,95.1,96,3.30,14,2.32,120,44.5%,11,64.3%,77,18.9%,55,115.9,43,4.8%,64,5.7%,31
Penn State,104.6,45,2.75,88,2.64,109,38.2%,78,53.1%,122,25.1%,120,72.3,111,8.6%,117,9.1%,92
Pittsburgh,110.3,24,3.30,14,2.75,104,39.9%,53,75.5%,22,16.4%,20,75.0,105,6.9%,100,8.9%,90
Purdue,102.6,61,2.69,100,3.78,18,31.4%,123,67.9%,52,15.5%,10,95.7,70,4.3%,53,8.3%,85
Rice,102.9,58,3.12,28,3.68,26,39.6%,58,76.9%,8,17.0%,26,65.2,118,5.6%,78,12.3%,123
Rutgers,104.4,48,3.01,46,3.19,70,41.6%,32,73.5%,28,17.8%,41,138.0,31,3.0%,25,7.4%,64
San Diego State,96.3,89,3.06,38,3.26,65,38.2%,78,67.1%,57,17.1%,27,76.6,103,10.0%,124,6.2%,43
San Jose State,98.8,79,2.78,81,3.93,8,38.9%,66,69.1%,42,18.5%,48,75.4,104,9.2%,122,6.0%,38
SMU,102.8,59,2.71,96,3.69,25,38.7%,72,60.5%,102,19.7%,75,60.4,124,7.3%,109,11.8%,120
South Alabama,102.8,59,2.76,85,3.45,44,37.2%,86,65.0%,73,21.5%,93,70.9,113,7.0%,103,9.5%,96
South Carolina,102.6,61,2.79,78,3.49,39,36.8%,89,52.4%,123,23.5%,111,97.1,68,5.0%,70,8.9%,90
South Florida,108.9,32,3.20,21,3.80,16,43.6%,18,63.0%,82,17.2%,32,92.9,73,4.7%,62,6.7%,52
Southern Miss,99.1,77,3.05,42,2.94,97,38.9%,66,60.9%,100,19.5%,70,98.3,65,3.7%,38,7.6%,74
Stanford,107.0,41,3.11,30,4.42,1,41.8%,30,76.2%,12,16.4%,20,100.6,62,3.6%,36,9.6%,99
Syracuse,107.8,37,2.66,104,2.96,90,40.2%,48,63.6%,80,23.1%,107,107.0,49,4.3%,53,9.8%,104
TCU,99.5,74,3.27,19,3.52,36,43.8%,17,66.7%,58,15.9%,13,185.4,15,1.9%,11,6.0%,38
Temple,88.7,114,2.51,116,2.33,119,33.7%,113,61.4%,95,25.9%,124,139.3,29,4.8%,64,2.9%,5
Tennessee,111.8,19,3.06,38,3.05,83,40.1%,50,72.7%,29,18.9%,55,106.9,51,5.4%,75,6.2%,43
Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Texas,101.4,67,3.06,38,3.32,56,43.9%,14,71.9%,34,18.4%,47,53.3,127,8.6%,117,17.3%,128
Texas A&M,122.1,5,3.32,10,3.96,6,43.5%,19,62.1%,90,15.6%,12,94.8,71,7.0%,103,7.3%,62
Texas State,95.9,93,2.76,85,3.12,76,38.9%,66,62.8%,85,19.1%,59,102.2,59,3.8%,41,6.7%,52
Texas Tech,119.6,8,3.58,2,3.79,17,45.2%,6,88.2%,2,14.9%,5,152.0,24,3.8%,41,5.8%,34
Toledo,96.0,92,2.96,55,2.38,118,38.9%,66,61.4%,95,17.9%,42,478.6,1,0.5%,1,1.7%,2
Troy,85.9,120,2.47,119,2.42,116,36.6%,90,60.7%,101,25.1%,120,133.3,33,4.0%,45,4.6%,15
Tulane,72.9,128,2.13,128,2.25,123,34.1%,111,41.2%,128,26.1%,125,78.2,100,5.6%,78,6.5%,49
Tulsa,99.2,76,2.91,62,3.29,59,37.1%,88,64.4%,75,16.2%,18,80.8,96,7.2%,108,8.3%,85
UCLA,101.3,68,2.94,58,2.95,93,42.4%,26,68.8%,44,21.7%,95,324.6,3,0.8%,2,3.2%,7
UL-Lafayette,99.1,77,2.97,53,2.95,93,39.7%,56,74.5%,25,15.3%,8,102.4,58,5.0%,70,5.2%,21
UL-Monroe,76.3,126,2.58,110,1.59,128,32.0%,121,68.0%,50,20.9%,88,82.0,95,5.4%,75,9.6%,99
UNLV,95.1,96,2.68,102,3.88,11,40.3%,47,58.7%,110,19.1%,59,73.3,109,6.2%,88,10.7%,113
USC,103.2,55,3.00,47,3.44,45,41.1%,35,68.8%,44,19.4%,68,84.0,89,4.0%,45,11.9%,122
Utah,101.6,66,2.98,52,3.42,47,36.6%,90,76.2%,12,19.1%,59,119.3,41,4.6%,59,7.4%,64
Utah State,102.4,63,2.66,104,2.95,93,37.7%,84,60.5%,102,24.3%,116,134.0,32,3.4%,34,7.4%,64
UTEP,84.0,122,2.79,78,2.70,107,36.4%,94,75.7%,18,22.4%,103,245.8,7,1.7%,9,2.6%,4
UTSA,98.7,81,2.96,55,2.98,88,37.6%,85,75.7%,18,19.5%,70,53.5,126,9.6%,123,12.3%,123
Vanderbilt,94.6,99,2.64,106,2.94,97,34.1%,111,60.4%,105,22.5%,105,83.1,93,3.3%,31,10.4%,109
Virginia,97.2,85,2.80,75,2.92,99,35.4%,105,62.1%,90,22.0%,96,118.4,42,4.6%,59,6.0%,38
Virginia Tech,104.5,46,2.85,70,3.54,35,39.3%,60,75.5%,22,18.7%,52,69.7,114,7.0%,103,9.7%,102
Wake Forest,100.0,73,2.50,118,2.98,88,30.8%,125,75.9%,16,23.2%,109,69.5,115,8.8%,119,9.6%,99
Washington,103.9,50,2.85,70,3.40,50,39.3%,60,67.5%,54,19.7%,75,86.7,83,6.0%,87,10.0%,106
Washington State,96.4,88,3.14,26,3.13,75,45.3%,5,65.6%,71,18.1%,44,107.0,49,5.2%,74,5.1%,19
West Virginia,113.7,14,3.31,12,3.86,12,45.1%,8,66.0%,65,17.1%,27,91.1,76,6.9%,100,9.7%,102
Western Kentucky,109.2,30,3.19,23,3.06,82,43.9%,14,69.8%,38,17.1%,27,254.6,5,1.0%,4,5.2%,21
Western Michigan,110.1,26,2.95,57,3.96,6,40.7%,41,75.9%,16,16.4%,20,74.8,106,7.9%,113,7.1%,59
Wisconsin,100.5,70,2.74,90,2.96,90,33.7%,113,75.6%,20,16.2%,18,115.3,44,4.4%,56,7.0%,57
Wyoming,102.2,64,3.10,32,2.27,122,39.3%,60,72.5%,30,19.8%,79,64.7,119,8.0%,114,11.2%,115
