1,CIN,4.21,4.00,68%,13,17%,3,1.20,14,0.42,31,LAR,1,18,3.5%
2,NE,4.19,3.88,64%,19,16%,1,1.17,16,0.42,30,BAL,2,24,3.8%
3,ARI,4.18,4.59,51%,29,20%,16,1.22,6,1.15,4,NYJ,3,22,4.1%
4,SEA,4.18,4.44,71%,8,18%,5,1.20,15,0.81,12,OAK,4,33,4.6%
5,KC,4.15,4.43,70%,11,18%,6,1.22,8,0.84,11,ARI,5,27,5.0%
6,DAL,4.11,4.53,66%,15,17%,4,1.21,12,1.01,8,NYG,6,27,5.1%
7,CHI,4.09,3.89,74%,4,16%,2,1.05,23,0.30,32,NO,7,32,5.1%
8,PIT,4.08,4.53,60%,24,19%,10,1.22,9,1.01,6,PIT,8,33,5.4%
9,TB,4.00,4.86,71%,8,20%,13,1.20,13,1.40,1,ATL,9,32,5.4%
10,MIN,3.96,4.55,76%,2,20%,12,1.24,4,1.12,5,WAS,10,27,5.4%
11,NYG,3.96,4.02,47%,30,19%,11,1.10,21,0.59,23,LAC,11,40,5.4%
12,CAR,3.89,4.10,76%,2,18%,8,1.23,5,0.61,22,CHI,12,34,5.6%
13,NO,3.88,4.00,74%,5,20%,14,1.17,17,0.68,18,DEN,13,39,5.8%
14,BAL,3.87,3.97,54%,28,23%,25,1.21,11,0.62,21,TB,14,27,5.8%
15,ATL,3.82,4.07,61%,21,22%,22,1.33,1,0.67,19,CIN,15,32,5.9%
16,JAC,3.77,3.80,39%,31,22%,21,1.01,28,0.63,20,IND,16,37,6.1%
17,DEN,3.73,4.33,61%,23,23%,23,1.24,3,0.93,9,HOU,17,36,6.3%
18,HOU,3.72,3.79,65%,16,19%,9,1.02,25,0.47,29,NE,18,38,6.5%
19,OAK,3.69,3.98,72%,7,18%,6,1.02,26,0.74,15,DAL,19,33,6.6%
20,TEN,3.65,3.66,37%,32,22%,20,0.95,31,0.58,25,PHI,20,37,6.6%
21,WAS,3.64,3.82,65%,18,22%,19,1.02,27,0.68,17,CAR,21,33,6.9%
22,DET,3.61,3.76,69%,12,24%,29,1.11,20,0.59,24,DET,22,44,6.9%
23,BUF,3.59,4.68,71%,10,21%,17,1.28,2,1.18,2,GB,23,47,7.4%
24,LAR,3.56,4.24,64%,20,23%,28,1.03,24,1.17,3,MIA,24,45,7.6%
25,GB,3.56,4.00,61%,21,23%,27,1.11,19,0.73,16,JAC,25,51,7.9%
26,NYJ,3.55,4.06,59%,26,23%,26,1.14,18,0.90,10,CLE,26,53,8.1%
27,IND,3.47,3.52,60%,24,23%,24,0.99,29,0.48,28,BUF,27,42,8.4%
28,MIA,3.45,4.28,58%,27,24%,30,1.22,7,1.01,7,KC,28,46,8.7%
29,CLE,3.32,3.75,65%,17,26%,31,0.98,30,0.78,14,MIN,29,45,8.8%
30,PHI,3.25,4.09,84%,1,21%,18,1.21,10,0.81,13,SEA,30,46,9.0%
31,LAC,3.18,3.53,73%,6,20%,15,0.85,32,0.53,27,SF,31,53,9.1%
32,SF,3.16,3.51,67%,14,26%,31,1.05,22,0.57,26,TEN,32,54,9.6%
