1,LAR,5.49,5.00,68%,13,14.6%,2,1.58,1,0.84,16,6,33,5.4%
2,NO,5.19,4.60,70%,9,14.5%,1,1.29,14,0.77,21,3,20,4.4%
3,NE,5.03,4.24,58%,29,15.9%,4,1.19,21,0.64,25,1,21,3.8%
4,IND,4.83,4.55,59%,28,17.8%,9,1.34,6,0.74,22,2,18,4.0%
5,LAC,4.80,4.91,67%,18,18.4%,16,1.46,4,1.05,7,13,34,6.4%
6,DEN,4.75,4.88,71%,7,18.4%,14,1.42,5,1.01,10,11,34,6.3%
7,GB,4.71,4.70,65%,21,18.1%,12,1.49,2,0.80,20,21,53,7.9%
8,DAL,4.61,4.46,75%,3,17.9%,11,1.31,9,0.87,14,28,56,9.7%
9,BAL,4.61,4.53,78%,1,14.6%,3,1.32,7,0.67,24,8,32,6.1%
10,SF,4.56,4.84,68%,16,19.4%,18,1.46,3,1.13,5,22,48,8.0%
11,CAR,4.55,4.62,67%,18,17.0%,7,1.27,17,0.97,12,10,32,6.1%
12,SEA,4.50,4.64,71%,5,17.3%,8,1.30,11,0.85,15,30,51,10.4%
13,OAK,4.49,4.24,53%,31,17.9%,10,1.31,8,0.60,28,25,52,8.7%
14,MIA,4.46,4.79,62%,24,18.4%,15,1.30,10,1.03,8,31,52,10.5%
15,PIT,4.43,4.36,71%,5,15.9%,5,1.20,20,0.80,19,4,24,4.4%
16,KC,4.37,4.66,72%,4,18.1%,13,1.27,18,1.01,11,5,26,5.4%
17,TEN,4.33,4.24,67%,17,18.9%,17,1.15,24,0.83,17,29,47,10.2%
18,CLE,4.24,4.61,50%,32,23.1%,29,1.27,16,1.16,4,16,38,6.7%
19,DET,4.14,4.10,68%,14,21.8%,27,1.18,22,0.74,23,12,41,6.3%
20,PHI,4.14,4.12,62%,25,21.5%,26,1.28,15,0.61,27,17,40,6.7%
21,JAX,4.12,3.46,69%,12,19.5%,19,0.98,29,0.29,32,27,53,9.3%
22,CIN,4.10,4.61,71%,7,20.1%,20,1.30,12,1.19,3,19,37,7.0%
23,MIN,4.09,4.29,58%,30,21.5%,25,1.16,23,1.02,9,9,40,6.1%
24,ATL,4.08,4.59,60%,27,25.3%,31,1.29,13,1.31,2,14,42,6.6%
25,ARI,4.00,3.58,69%,10,16.5%,6,0.98,30,0.36,31,26,51,9.1%
26,WAS,3.96,4.16,76%,2,22.8%,28,1.24,19,0.93,13,24,44,8.5%
27,HOU,3.93,4.01,63%,23,20.4%,21,1.09,26,0.83,18,32,62,11.5%
28,CHI,3.91,3.83,67%,18,20.5%,22,0.96,31,0.63,26,7,33,6.0%
29,NYG,3.90,4.69,69%,10,20.9%,24,1.10,25,1.60,1,20,47,7.4%
30,BUF,3.89,3.53,68%,14,20.9%,23,0.92,32,0.43,30,23,41,8.0%
31,TB,3.78,3.55,64%,22,24.7%,30,1.06,27,0.49,29,15,41,6.6%
32,NYJ,3.59,4.05,61%,26,26.1%,32,1.05,28,1.06,6,18,37,6.7%
