Team,Win-Loss Record
New England,17-2-0
Dallas,13-4-0
Kansas City,12-5-0
Oakland,12-5-0
Pittsburgh,13-6-0
Atlanta,13-6-0
NY Giants,11-6-0
Seattle,11-6-1
Green Bay,12-7-0
Tennessee,9-7-0
Tampa Bay,9-7-0
Denver,9-7-0
Houston,10-8-0
Washington,8-7-1
Detroit,9-8-0
Minnesota,8-8-0
Baltimore,8-8-0
Indianapolis,8-8-0
Arizona,7-8-1
New Orleans,7-9-0
Philadelphia,7-9-0
Buffalo,7-9-0
Cincinnati,6-9-1
Carolina,6-10-0
LA Chargers,5-11-0
NY Jets,5-11-0
LA Rams,4-12-0
Jacksonville,3-13-0
Chicago,3-13-0
San Francisco,2-14-0
Cleveland,1-15-0
