Team,Win-Loss Record,Win %,MOV,ATS +/-
LA Rams,15-3-0,83.3%,8.6,+1.0
New Orleans,14-4-0,77.8%,8.6,+3.1
Kansas City,13-5-0,72.2%,8.7,+4.0
LA Chargers,13-5-0,72.2%,5.1,+1.2
New England,13-5-0,72.2%,7.2,+0.6
Chicago,12-5-0,70.6%,8.1,+4.8
Houston,11-6-0,64.7%,4.2,+1.2
Dallas,11-7-0,61.1%,0.5,+1.3
Indianapolis,11-7-0,61.1%,4.7,+4.2
Pittsburgh,9-6-1,60.0%,4.2,+1.2
Baltimore,10-7-0,58.8%,5.6,+2.9
Seattle,10-7-0,58.8%,4.6,+4.2
Tennessee,9-7-0,56.2%,0.4,+1.0
Philadelphia,10-8-0,55.6%,0.8,+0.1
Minnesota,8-7-1,53.3%,1.2,-1.4
Cleveland,7-8-1,46.7%,-2.1,+0.6
Miami,7-9-0,43.8%,-7.1,-3.1
Washington,7-9-0,43.8%,-4.9,-1.7
Carolina,7-9-0,43.8%,-0.4,-0.2
Atlanta,7-9-0,43.8%,-0.6,-2.0
Green Bay,6-9-1,40.0%,-1.5,-3.8
Buffalo,6-10-0,37.5%,-6.6,-0.2
Detroit,6-10-0,37.5%,-2.2,+0.6
Cincinnati,6-10-0,37.5%,-5.4,-2.0
Denver,6-10-0,37.5%,-1.2,+0.2
Tampa Bay,5-11-0,31.2%,-4.2,-1.0
Jacksonville,5-11-0,31.2%,-4.4,-4.6
NY Giants,5-11-0,31.2%,-2.7,-0.2
San Francisco,4-12-0,25.0%,-5.8,-2.1
NY Jets,4-12-0,25.0%,-6.8,-2.2
Oakland,4-12-0,25.0%,-11.1,-5.1
Arizona,3-13-0,18.8%,-12.5,-5.2
